Element,Attribute
KP,5
KZ,2
LA,19
LB,11
LC,1
LK,8
LR,7
LS,1
MA,14
MD,19
ME,3
MG,3
MK,7
ML,2
MM,5
MN,11
MR,3
MU,1
MV,2
MW,14
MX,22
MY,17
MZ,45
NA,31
NE,1
NG,12
NI,30
NP,108
OM,1
PA,1
PE,37
PG,3
PH,13
PK,30
PS,44
PY,5
RS,22
RW,3
SB,1
SD,23
SL,10
SN,11
SO,42
SR,1
SV,3
SY,3
SZ,4
TD,7
TG,3
TH,11
TJ,9
TL,8
TM,1
TN,8
TR,15
TT,1
TZ,114
UA,28
UG,28
UY,9
UZ,3
VC,2
VE,6
VN,75
YE,12
ZA,40
ZM,57
ZW,17
recipient-region,code
57,26
88,1
89,18
189,2
289,73
298,71
389,17
489,26
498,8
589,8
619,5
679,15
689,6
789,6
798,39
889,3
998,402
budget,type
None found
budget/value,currency
None found
budget/period-start,iso-date
None found
planned-disbursement/value,currency
None found
planned-disbursement/period-start,iso-date
None found
transaction/transaction-type,code
C,4132
D,5229
transaction/value,currency
,9361
transaction/provider-org,ref
None found
transaction/receiver-org,ref
None found
transaction/transaction-date,iso-date
2000,136
2001,197
2002,161
2003,208
2004,104
2005,170
2006,478
2007,695
2008,1391
2009,2022
2010,3799
document-link,format
None found
document-link,category
None found
related-activity,type
None found
conditions,type
None found
result,type
None found
result/indicator,measure
None found
