'Code','Country','Abbrev','Name'
'47033','','CYP','Commonwealth Youth Programme'
'47034','','ECOWAS','Economic Community of West African States'
'47035','','ENDA','Environmental Development Action in the Third World'
'47036','','EPPO','European and Mediterranean Plant Protection Organisation'
'47037','','EROPA','Eastern-Regional Organisation of Public Administration'
'47038','','FASTPED','INTERPOL Fund for Aid and Technical Assistance to Developing Countries'
'47040','','FFA','Forum Fisheries Agency'
'47041','','FFTC','Food and Fertilizer Technology Centre'
'47042','','FIT','Foundation for International Training'
'47043','','','Global Crop Diversity Trust'
'47044','','GEF','Global Environment Facility'
'47045','','Global Fund','Global Fund to Fight AIDS, Tuberculosis and Malaria'
'47046','','OIF','International Organisation of the Francophonic'
'47047','','IAI','International African Institute'
'47048','','IAII','Inter-American Indian Institute'
'47049','','IBE','International Bureau of Education - International Educational Reporting System (IERS)'
'47050','','ICAC','International Cotton Advisory Committee'
'47051','','ICARDA','International Centre for Agricultural Research in Dry Areas'
'47053','','ICDDR,B','Centre for Health and Population Research'
'47054','','ICIPE','International Centre of Insect Physiology and Ecology'
'47055','','ICRA','International Centre for Development Oriented Research in Agriculture'
'47056','','ICRAF','World AgroForestry Centre'
'47057','','ICRISAT','International Crop Research for Semi-Arid Tropics'
'47058','','IDEA','International Institute for Democracy and Electoral Assistance'
'47059','','IDLO','International Development Law Organisation'
'47060','','IIC','International Institute for Cotton'
'47061','','IICA','Inter-American Institute for Co-operation on Agriculture'
'47062','','IITA','International Institute of Tropical Agriculture'
'47063','','ILRI','International Livestock Research Institute'
'47064','','INBAR','International Network for Bamboo and Rattan'
'47065','','IOC','Intergovernmental Oceanographic Commission'
'47066','','IOM','International Organisation for Migration'
'47067','','IPCC','Intergovernmental Panel on Climate Change'
'47068','','APFIC','Asia-Pacific Fishery Commission'
'47069','','','Biodiversity International'
'47070','','IRRI','International Rice Research Institute'
'47071','','ISTA','International Seed Testing Association'
'47073','','ITTO','International Tropical Timber Organisation'
'47074','','IVI','International Vaccine Institute'
'47075','','IWMI','International Water Management Institute'
'47076','','JSCA','Justice Studies Centre of the Americas'
'47077','','MRC','Mekong River Commission'
'47078','','Montreal Protocol','Multilateral Fund for the Implementation of the Montreal Protocol'
'47079','','OAS','Organisation of American States'
'47080','','OECD','Organisation for Economic Co-operation and Development (Contributions to special funds for Technical Co-operation Activities Only)'
'47081','','OECD-Dev. Centre','OECD Development Centre'
'47082','','OECS','Organisation of Eastern Caribbean States'
'47083','','PAHO','Pan-American Health Organisation'
'47084','','PAIGH','Pan-American Institute of Geography and History'
'47085','','PARCA','Pan-American Railway Congress Association'
'47086','','PIDG','Private Infrastructure Development Group'
'47087','','PIFS','Pacific Islands Forum Secretariat'
'47088','','RN','Relief Net'
'47089','','SADC','Southern African Development Community'
'47090','','SATCC','Southern African Transport and Communications Commission'
'47091','','SCAAP','(Colombo Plan) Special Commonwealth African Assistance Programme'
'47092','','SEAFDC','South East Asian Fisheries Development Centre'
'47093','','SEAMEO','South East Asian Ministers of Education'
'47094','','SOPAC','South Pacific Applied Geoscience Commission'
'47095','','SPBEA','South Pacific Board for Educational Assessment'
'47096','','SPC','Secretariat of the Pacific Community'
'47097','','SPREP','Pacific Regional Environment Programme'
'47098','','UNPO','Unrepresented Nations and Peoples Organisation'
'47099','','USP','University of the South Pacific'
'47100','','WAMU','West African Monetary Union'
'47101','','WARDA','Africa Rice Centre'
'47102','','WCO-Fellowship Prog.','World Customs Organisation Fellowship Programme'
'47103','','WMU','World Maritime University'
'47104','','WorldFish Centre','WorldFish Centre'
'47105','','CFC','Common Fund for Commodities'
'47106','','DCAF','Geneva Centre for the Democratic Control of Armed Forces'
'47107','','IFFIm','International Finance Facility for Immunisation'
'47108','','MDRP','Multi-Country Demobilisation and Reintegration Program'
'47109','','APEC ASF','Asia-Pacific Economic Cooperation Support Fund (except contributions tied to counter-terrorism activities)'
'47110','','BSEC','Organisation of the Black Sea Economic Cooperation'
'47111','','','Adaptation Fund'
'47112','','CEI-Climate Fund','Central European Initiative - Special Fund for Climate and Environmental Protection'
'47113','','CEMAC','Economic and Monetary Community of Central Africa'
'47116','','IF','Integrated Framework for Trade-Related Technical Assistance to Least Developed Countries'
'47117','','NEPAD','New Partnership for Africa\'s Development'
'47118','','CREFIAF','Regional Organisation for the Strengthening of Supreme Audit Institutions of Francophone Sub-Saharan Countries'
'47119','','OSS','Sahara and Sahel Observatory'
'47120','','SAARC','South Asian Association for Regional Cooperation'
'47121','','UCLGA','United Cities and Local Governments of Africa'
'47122','','GAVI','Global Alliance for Vaccines and Immunization'
'47123','','GICHD','Geneva International Centre for Humanitarian Demining'
'47125','','ETC','European Bank for Reconstruction and Development - Early Transition Countries Initiative'
'47126','','','European Bank for Reconstruction and Development - Western Balkans Trust Fund'
'47127','','OLADE','Latin-American Energy Organisation'
