"File Name",Size,"Activity Count","Date last-generated","Date last-updated"
NE,"35.54 KB",10,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
298,"1858.04 KB",431,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
GM,"87.02 KB",20,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
TD,"35.82 KB",11,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
AS,"5.46 KB",2,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
TZ,"720.68 KB",175,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
CD,"716.62 KB",158,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
MV,"5.4 KB",2,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
ET,"947.34 KB",220,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
PK,"1775.05 KB",266,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
SL,"908.52 KB",200,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
798,"375.23 KB",81,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
CN,"661.9 KB",98,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
PE,"27.41 KB",8,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
TJ,"292.92 KB",84,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
NA,"5.35 KB",2,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
PH,"9.29 KB",3,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
DK,"5.32 KB",2,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
NP,"1053.11 KB",206,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
LR,"163.96 KB",39,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
PG,"22.5 KB",6,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
PN,"69.36 KB",18,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
MZ,"626.85 KB",137,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
NI,"40.44 KB",11,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
MW,"1019.72 KB",231,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
589,"65.74 KB",17,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
CL,"10.74 KB",3,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
UA,"17.45 KB",5,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
AC,"74.41 KB",19,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
JO,"0.54 KB",0,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
TL,"8.07 KB",2,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
KH,"263.59 KB",58,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
LA,"27.74 KB",5,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
FJ,"5.74 KB",2,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
AL,"28.62 KB",8,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
IQ,"186.05 KB",49,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
PS,"546.12 KB",114,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
CB,"8.55 KB",2,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
SN,"12.72 KB",4,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
YE,"399.83 KB",86,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
EA,"76.22 KB",15,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
SH,"604.75 KB",166,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
BT,"5.69 KB",2,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
BR,"49.49 KB",15,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
TR,"17.24 KB",4,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
IB,"12.27 KB",4,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
ZM,"697.35 KB",161,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
KO,"266.64 KB",55,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
289,"240.75 KB",47,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
GN,"6.7 KB",2,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
MM,"1006.13 KB",148,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
MS,"536.54 KB",132,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
CM,"36.64 KB",11,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
GE,"7.12 KB",2,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
AO,"53.1 KB",16,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
ER,"32.63 KB",10,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
RS,"104.86 KB",28,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
GB,"49.19 KB",14,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
BO,"0.54 KB",0,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
WS,"7.65 KB",2,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
VU,"7.63 KB",2,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
BD,"1289.77 KB",236,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
TH,"6.07 KB",2,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
89,"28.71 KB",8,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
HN,"6.17 KB",2,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
LC,"6.72 KB",2,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
ZW,"638.22 KB",134,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
GH,"717.58 KB",149,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
NULL,"63.47 KB",20,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
BF,"11.1 KB",3,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
GY,"77.95 KB",19,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
